Title,Type,Availability,MSRP Currency,MSRP,Show Price Currency,Show Price,Publisher,Location,Priority,Notes,Thumbs,BGGId,BGGVersionId,Mfg Product Code,Release Date,Override Release Date,Events
Exit: The Game – Advent Calendar: The Hunt for the Golden Book,Standalone,For Sale,USD,50,N/A,N/A,KOSMOS,2455,N/A,N/A,19,343322,595004,681951,2022-08-00,,
Exit: The Game – Advent Calendar: The Mystery of the Ice Cave,Standalone,For Sale,USD,50,N/A,N/A,KOSMOS,2455,N/A,N/A,13,317434,562202,,2021-05-00,,
Power Rangers: Deck-Building Game – RPM – Get in Gear,Expansion,Demo,N/A,N/A,N/A,N/A,Renegade Game Studios,2309,N/A,N/A,0,358562,603181,,2022-08-00,,
My Little Pony: Adventures in Equestria Deck-Building Game – Familiar Faces Expansion,Expansion,For Sale,USD,30,N/A,N/A,Renegade Game Studios,2309,N/A,N/A,0,358763,603543,,2022-00-00,,
Vampire: The Masquerade – Rivals – The Heart of Europe,Expansion,For Sale,USD,30,N/A,N/A,Renegade Game Studios,2309,N/A,N/A,1,358554,603172,,2022-06-00,,
Space Station Phoenix,Standalone,For Sale,USD,80,N/A,N/A,Rio Grande Games,829,N/A,N/A,12,356414,599159,RIO578,2022-05-00,,
Dominion: Seaside (Second Edition),Expansion,For Sale,USD,40,N/A,N/A,Rio Grande Games,829,N/A,N/A,5,355958,598230,,2022-06-00,,
Dominion: Seaside – Update Pack,Expansion,For Sale,USD,15,N/A,N/A,Rio Grande Games,829,N/A,N/A,1,356205,598540,,0000-00-00,,
Dominion: Prosperity (Second Edition),Expansion,For Sale,USD,45,N/A,N/A,Rio Grande Games,829,N/A,N/A,6,362517,613377,RIO621,2022-06-00,,
Dominion: Prosperity – Update Pack,Expansion,For Sale,USD,15,N/A,N/A,Rio Grande Games,829,N/A,N/A,0,364019,617797,,2022-07-00,,
Race for the Galaxy: Expansion and Brinkmanship,Expansion,For Sale,USD,40,N/A,N/A,Rio Grande Games,829,N/A,N/A,4,270439,587342,RIO567,2022-06-00,,
Dominion: Hinterlands – Update Pack,Expansion,For Sale,USD,15,N/A,N/A,Rio Grande Games,829,N/A,N/A,0,365192,620242,,2022-00-00,,
The Isle of Cats: Kittens + Beasts,Expansion,For Sale,USD,35,N/A,N/A,The City of Games,2758,N/A,N/A,22,338020,562730,TCOK617,2022-03-00,,
The Isle of Cats: Boat Pack,Expansion,For Sale,USD,25,N/A,N/A,The City of Games,2758,N/A,N/A,15,338021,562731,TCOK618,2022-03-00,,
The Isle of Cats: Explore & Draw,Standalone,For Sale,USD,30,N/A,N/A,The City of Games,2758,N/A,N/A,18,338460,563490,,2022-03-00,,
NEXUS: Arena Combat System,Standalone,Demo,N/A,N/A,N/A,N/A,"D-Verse Publishing, LLC",1641,N/A,N/A,3,248760,398761,,2022-00-00,,
Fire & Stone,Standalone,For Sale,USD,45,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,11,342927,571918,51233E,2022-05-00,,
A Battle Through History,Standalone,For Sale,USD,60,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,6,349042,583479,57702G,2022-01-00,,
Carnegie,Standalone,For Sale,USD,70,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,35,310873,581019,57007G,2022-04-00,,
First Rat,Standalone,For Sale,USD,40,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,24,347703,581141,4250231729942,2022-03-00,,
Raccoon Robbers,Standalone,For Sale,USD,35,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,14,341700,569675,52156G,2022-04-00,,
Bubble Trouble,Standalone,For Sale,USD,34,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,3,341701,569676,65502G,2022-04-00,,
